uri,casNumber,references,type,notation,prefLabel,altLabel,definition,collections,inScheme,theme,seeAlso,topConceptOf
BOC,,,skos:Concept,BOC,"Compendium voor de monsterneming, meting en analyse in het kader van bodembescherming (BOC)",,"De voorgestelde bemonsterings- en analysemethoden hebben betrekking op de bodemanalyses, voorzien in het besluit van de Vlaamse Regering van 24 oktober 2014 tot vaststelling van de voorschriften voor de rechtstreekse betalingen aan landbouwers in het kader van de steunregelingen van het gemeenschappelijk landbouwbeleid: bepaling van de zuurtegraad; bepaling van het organische koolstofgehalte; bepaling van de bodemtextuur. ",collectie:bodem,conceptscheme:observatieprocedure,gemet:7884,https://reflabos.vito.be/2017/BOC_versie_2.1.pdf,conceptscheme:observatieprocedure
BOC_versie_2.1,7440-44-0,chemische_stof:OKTJSMMVPCPJKN-UHFFFAOYSA-N,skos:Concept,BOC/versie/2.1,"Compendium voor de monsterneming, meting en analyse in het kader van bodembescherming (BOC)",,,collectie:bodem,conceptscheme:observatieprocedure,gemet:7884,https://reflabos.vito.be/2017/BOC_versie_2.1.pdf,conceptscheme:observatieprocedure
CMA_1_A.0,,,skos:Concept,CMA/1/A.0,Bodem - Inleiding,,Het CMA heeft tot doel een reeks richtlijnen te bundelen met betrekking tot klassiek bodemonderzoek (i.e. plaatsen van boringen en peilbuizen; staalname van bodem en grondwater) voor de erkend bodemsaneringsdeskundige en de veldwerker om dergelijke representatieve staalname mogelijk maken. De richtlijnen opgenomen in de CMA procedures sluiten de toepassing van alternatieve onderzoekstechnieken niet uit (zie standaardprocedure beschrijvend bodemonderzoek).|Inleiding,collectie:bodem,conceptscheme:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.0.pdf,conceptscheme:observatieprocedure
CMA_1_A.1,,,skos:Concept,CMA/1/A.1,Vaste deel van de aarde,,Deze procedure beschrijft voor bodemmonsters de wijze waarop het boorprogramma moet worden vastgelegd; beschikbare boortechnieken; de milieutechnische uitvoering van boringen; de verschillende methoden die bij de staalname van bodem gehanteerd kunnen worden.,collectie:bodem,conceptscheme:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.1.pdf,conceptscheme:observatieprocedure
CMA_1_A.10,,,skos:Concept,CMA/1/A.10,Drinkwater,,"Deze procedure beschrijft de staalname van drinkwater|Deze procedure is van toepassing voor de bemonstering van drinkwater met als doel de bepaling van volgende parameters: metalen, anorganische verbindingen, organische verbindingen (zowel vluchtige als niet-vluchtige), biologische parameters, fysico-chemische eigenschappen en het gehalte aan zwevende stof. Het doel van de procedure CMA/1/A.10 is om een representatief monster te verkrijgen om de kwaliteit van het drinkwater te beoordelen met inbegrip van eventuele invloed van de netwerkvoorzieningen in een gebouw.",collectie:bodem|collectie:water,conceptscheme:observatieprocedure,gemet:15179|gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.10.pdf,conceptscheme:observatieprocedure
CMA_1_A.11,,,skos:Concept,CMA/1/A.11,Oppervlaktewater,,"Deze procedure beschrijft de staalname van oppervlaktewater, De bemonstering van oppervlaktewater is bedoeld om na te gaan in hoeverre een vastgestelde bodemverontreiniging eventueel aanleiding heeft gegeven tot verontreiniging van het oppervlaktewater. |Deze procedure is van toepassing voor de bemonstering van oppervlaktewater met als doel de bepaling van volgende parameters: metalen, anorganische verbindingen, organische verbindingen (zowel vluchtige als niet-vluchtige), fysico-chemische eigenschappen en het gehalte aan zwevende stof. Het doel van de procedure CMA/1/A.11 is om de kwaliteit van een oppervlaktewater te bepalen en de invloed van een eventuele lozing na te gaan .",collectie:bodem|collectie:water,conceptscheme:observatieprocedure,gemet:15179|gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.11.pdf,conceptscheme:observatieprocedure
CMA_1_A.13,,,skos:Concept,CMA/1/A.13,"Inleiding, definities en referenties","Afvalstoffen – grondstoffen   Inleiding, definities en referenties","In deze methode worden de basisbegrippen en referenties m.b.t. tot monsterneming en monstervoorbehandeling ter plaatse opgelijst. De algemene principes, concrete richtlijnen inzake monsternemingstechnieken en de monstervoorbehandeling ter plaatse komen aan bod|Inleiding voor algemene methoden voor de monsterneming en monstervoorbehandeling ter plaatse van vaste, vloeibare en pasteuze materialen en/of afvalstoffen en/of grondstoffen  in het kader van VLAREM of VLAREMA. ",collectie:bodem,conceptscheme:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.13.pdf,conceptscheme:observatieprocedure
CMA_1_A.14,,,skos:Concept,CMA/1/A.14,Algemene richtlijnen monsterneming,Afvalstoffen – grondstoffen   Algemene richtlijnen monsterneming,"Algemene richtlijnen voor de monsterneming en monstervoorbehandeling ter plaatse van vaste, vloeibare en pasteuze materialen en/of afvalstoffen en/of grondstoffen  in het kader van VLAREM of VLAREMA. |Deze procedure beschrijft de algemene richtlijnen en instructies voor het bemonsteren van afvalstoffen en grondstoffen1 in kader van VLAREM en VLAREA. De procedure behandelt zowel vloeibare, pasteuze als vaste materialen. De beschrevenbemonsteringstechnieken zijn generiek en toepasbaar op een heel gamma aan afvalmatrices enparameters.",collectie:bodem,conceptscheme:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.14.pdf,conceptscheme:observatieprocedure
CMA_1_A.15,,,skos:Concept,CMA/1/A.15,Monsternemingstechnieken vaste materialen,Afvalstoffen – grondstoffen Monsternemingstechnieken vaste materialen,"De procedure behandelt de monsternemingstechnieken die gehanteerd kunnen worden voor vaste afvalstoffen en grondstoffen1 . Onder deze noemer vallen oa. volgende monstertypes uit de analysepakketten voor erkenning als laboratorium voor afval: bouw- en sloopafval, assen en slakken, shredderafval, compost en houtafval|Deze procedure beschrijft de monsterneming van vaste materialen en/of afvalstoffen en/of grondstoffen in het kader van VLAREM of VLAREMA. ",collectie:bodem,conceptscheme:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.15.pdf,conceptscheme:observatieprocedure
CMA_1_A.16,,,skos:Concept,CMA/1/A.16,Monsternemingstechnieken vloeistoffen,Afvalstoffen – grondstoffen Monsternemingstechnieken vloeistoffen,"De monsterneming van vloeibare en semi-vloeibare afvalstoffen en grondstoffen1 vormt een speciale uitdaging in het verzamelen van een representatief monster. Onder de noemer vloeibare afvalstoffen vallen een brede waaier van afvalstoffen, die dikwijls in de meest uiteenlopende manieren worden opgeslagen. Meestal gaat het niet om een zuivere chemische stof, maar om suspensies of vloeistofmengsels met variërende densiteit, viscositeit en samenstelling. Deze procedure voorziet ook in een visuele inspectie van de te bemonsteren vloeistof. Deze is gericht op het identificeren van verschillende fasen in de partij (vast-vloeibaar, vloeibaar-vloeibaar) en in de identificatie van het medium (waterig, niet-waterig). Qua monsternemingstechnieken is er geen onderscheid naar gelang de identiteit van het medium (bijv. olie, water) ; qua monstervoorbehandeling wel. |Deze procedure beschrijft de monsterneming van vloeibare materialen en/of afvalstoffen en/of grondstoffen in het kader van VLAREM of VLAREMA. ",collectie:bodem,conceptscheme:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.16.pdf,conceptscheme:observatieprocedure
